Index,text_comments
0, we re sorry that you re too stupid to understand how this works  is basically the sum of this apology in one sentence  so yeah classic arrogant non apology 
0,apology  they told their fans that they are too stupid to understand their idea  
0,i love when apologies go more then beyond  im sorry i was wrong   because it than somehow mutates into  so you see   you re actually the ones at fault  
0,sounds like they re both holding back pure rage and hatred  i feel like i m being lectured by my parents about how it was wrong to punch my teacher
0,they re not apologizing they re just saying how dumb their fans are and that we re just too dumb to get  what they re saying  
1,im impressed they both managed to keep straight faces 
1,you can t see it but there s a man behind the camera pointing a gun at their dogs  heads and giving them flash cards to read off of 
1,little did he know this would be the least embarrassing thing he would have to do publicly with amber heard    
1,if you ve being held captive johnny blink twice 
1,i can t believe she took advantage of johnny depp s love for her like this  he was already in australia and she met him there meaning this was all her doing  she d also done the same thing in the past and got away with it  unbelievable 
2, sorry guys my bad your fault 
2,plot twist  the dog was the one pulling the strings this whole time 
2,the background was my favorite    i m sorry i scammed you guys of money but look   i spent it all pretty well 
2, i am sorry i got caught my bad guys  
2,i like how he parked his car perfectly into frame in the background just to rub it in more 
3,the first time i ve had to speed up a james charles video
3,james  am so sorry tati for what i put you through  me  why did james even apologize 
3,why is he talking so slow    not like him 
3,omg he appologized  can they not see that he is a kind person and he loves them   i think they need to apologize to him 
3,dude the first time i saw this i thought it was just another stupid overdramatic apology video    but now i just feel so bad for him  honestly this is pretty damn real hes not mock crying theres no defense no cuts no ads  and yes hes talking slow but hes probably tired and heartbroken  god i m so glad he recovered  poor guy   
4,she s the only youtuber ive seen that didn t make any excuses just admitted she was wrong and moved on from it
4,the person that never deserved to be canceled
4,it s been  years and i still miss her i hope she comes back eventually
4, it wasn t my intention to do blackface but that doesn t matter the only thing that matters is that i offended people   you are a beautiful person 
4,this is actually the most genuine apology i ve ever seen and it brought me to tears    and no one asked for it  no one was trying to cancel her  not saying what she did was okay by any means but i respect her for this 
5,that wasn t an apology  
5,hey guys so yesterday i ended my career  it s such a crazy time 
5,not all of us can just stay at home  not all jobs you can work from home 
5,why does the lady talking sound like she s falling asleep lmao
5,what a dumb thing to say   even if you think that way   
6,these people are horrible  would they get rid of a biological child who had special needs    adoption is forever  they let everyone know about hux when they adopted him  they never had respect for his privacy it was all about the almighty dollar 
6,if they really loved that child they wouldn t have given up on him   
6,it s not about me at all but the last few months have been so hard on me
6,i see a lot of  poor me poor me and not poor hux 
6,did she thank huxley for making you a millionaire before she trashed him 
7,crazy how travis scott created a magnitude   earthquake at his fein concert
7,this will forever be funny to me
7,this should be in a movie
7,bro facepalming and shi 
7,now he broke the world record for rap tour tickets with over   million tickets sold    crazy how this didn t cancel him that s crazy and i got to experience him live my teenage life is complete
8,you d think two famous actors could actually manage an at least somewhat convincing apology 
8,i see why topher grace never wanted to hang with any of these people offscreen 
8,for professional actors they sure don t act well  they don t look apologetic  they look annoyed that the world dares to judge them defending a convicted rapist 
8,they were intended for the judge to read   meaning they never expected their support to be made public 
8,please don t let our support for a convicted raprist hurt our careers   we re sorry that the public heard about our letters 
9,the amount of racists in this comment section is astronomical
9,she is playing the victim  no she does not feel sorry  you can tell she is annoyed she can t comprehend her wrongdoings  racism in the bible belt the republican south is deep rooted 
9, i is what i is  
9,all that crying but i have yet to see one tear 
9,as a young black man who used to work for airport security down in savannah ga and have run into paula deen in person several times can say wholeheartedly and without a doubt that this woman was absolutely warm and kind to me the entire time i had to look through her things at the checkpoint  mind you the same people in this forum who are relentlessly hurling  racist  at this woman if i had to simply do my job by searching your belongings you d spout off all kinds of crazy shit and snatch your bag back like a seven year old child  we all talk shit at some point  just because you say something once it should not define who you are as a person  yeah it would piss me off or shock me but damn i don t have a heaven or hell to put this woman in and god knows i ve said and done some things in my life that i regret  she s only human and you can only be so strong before it really starts hurting you  if i want god to forgive me love me and accept me i have to forgive others and know that we don t always say or do the right things  it doesn t make us bad people  just people  life is a long journey and we will always make mistakes no matter how many lessons we learn 
10,i will not attempt to justify my actions  justifies actions
10, donotstandwithgnomestar 
10,he s made mistakes  also his parents
10,i wonder why the likes and dislikes are disabled  
10, minutes  hah no thank you 
11,it took god  years to teach you those basic human values  bakit kapag may mali kang nagawa dinadamay mo pa ang diyos  it s all your doing  grow up alex 
11,si lord nanaman kahit si lord pagod na sa mga pinaggagagawa mo
11,this apology could have appeared genuine if only kuya allan wasn t instructed to execute that handwritten note  
11,congrats  at  you learned something kids already know at  years old  proud of u
11,te hindi ka nilagay ni lord sa ganong sitwasyon para mambastos ka  nambastos ka kase gawain mo sya talaga  ginamit mo pa si lord kakaloka ka   magsorry ka nalang kung magsosorry ka  gagamitin mo pa si lord na kesyo it was a lesson he taught you  sayo yan hindi sa diyos 
12,yo i watched your whole trip   read some users comments along the way     right up to this response   as well as phillips vids  i think you handled the whole delicate thing very well     bravo    respect    peace
12,you re out of your mind  this is what happens when your phoney  be positive all the time  vibe gets the best of you  you obviously have never seen any of the vice documentaries on north korea or read newspapers about the human rights violations  it s not hard to find 
12,i wish people would just take these vlogs for what they are  of course we all know north korea is messed up  this surfing group is making a positive connection and influence with them and allowing north koreans to make their own decisions about who foreigners are and what they stand for  kudos to louis for his heart for all people and his wisdom and tact in how he does so  keep up the good work 
12,okay so you are saying that the media only shows  the bad   but aren t you just as guilty only showing  the good   this is basically like a video visiting a slave plantation in the s in america and showing only the good that comes from slavery and not showing any of the bad  slavery was very beneficial to society and it made a lot of people rich and happy  but it was also horrible and evil    north korea has some good stuff in it  but the bad is so enormous ever present and all encompassing that it snuffs out any possibility of the good being anything but a footnote  next time you go to north korea try talking about the bible or capitalism or anything that the government disagrees with  you can do that in south korea  you can t in north korea 
12,i kind of agree with the criticism of this but i am also on your side too  you are just showing us the good side and largely ignoring the problems there but    what are they expecting you to do  make vlogs on executions and torture  it s not really up to you to highlight and expose socioeconomic and political issues is it  your channel wouldn t have  fun  in the title for long if it was  there s nothing really you could do differently  so just keep doing what you re doing   north korea is going to be a touchy subject no matter what 
13,max would go on to never combine words ever again 
13,at least he wasn t fighting balrog when he said it
13,i m black and i laughed when he said it as well i know it was a slip of the tongue  i ve watched his streams b and i know he s cool guy  i hope no one gives him a bad time 
13,this dude is way to nice and pure to be racist 
13,lmao so max is a racist now  seriously stop  the dude literally has black friends and an asian wife xd
14, i don t care about the money  puts ads on apology video 
14,i don t always apologize  but when i do   i don t 
14,i m glad that my adblock doesn t let her have that ad revenue
14,idubbbz  says the n word tana  tells him to kill himself  jake paul  says the n word tana  marries him
14,tana is deleting her comments faster than hillary emails
15,jontron being serious is the scariest thing ever 
15,just realised jontron looks like every age at once
15,every time i see this i think about how much more chest hair i have than jontron and wonder if that s a good thing or not
15,i appreciate jon researched the irish after the fact 
15,literally everything he says here is   true  aged like a fine wine 
16,worst week of our life yeah you gave them damage for their whole lives  your disguisting 
16,all abusers r sorry once they get caught  they weren t sorry when they were abusing the kids
16, we just wanted our kids to be happy   throws cody s toys away destroys cody s ds and yells at him and alex 
16,notice how they just feel sorry for themselfs and not the kids
16,notice how angry mike looks throughout the whole video  he knows he s lost his meal ticket 
17,  is when he starts his  apology   like if i helped
17,y don t u apologize to alyssa directly  
17,why don t you try being a human and actually say sorry to her
17,who else came from alissa s video  like   if you re really sorry then name every person you hurt   god
17,when your acting classes from disney come in handy
18,im  years late but you can tell its genuine 
18, no fake crying  no dumb excuses  is mature  owned up  didn t ignore it that right there is a king 
18,it s ok felix it was a canon event 
18,still the best apology video i ve ever seen after the recent video 
18,he already has a lifetime n word pass from edgar
19,what  for  years that once boy has been tortured from the assault   you give spacey a pass because he was allegedly drunk   twistedsick
19,why did you even have a  year old at your apartment for a party where alcohol was being consumed   
19,my uncle raped me over  years ago  i guess i should let it go since it was  yrs ago  that is basically what you re implying
19,you just made the queer community look terrible so thanks  also way to turn this into your coming out story 
19,holy cow  if you re reading this story and perceiving kevin spacey to be the hero    you re reading it wrong 
20,i made a mistake  and it was my fault   no tears no deep breathing or long pauses just owning up to something like an adult   i still watch this because it s relieving to know people like jenna exist 
20,so many youtubers make apology videos for cheating doing terrible things comitting crimes doing drugs   whatever else   you make an apology video for your fish   honestly i feel like you re the only sane person on this platform   thank you for being precious and inspiring 
20,laura lee  not even a  minute apology video for tweeting horribly racist things jenna marbles   minute apology video for buying the wrong fish tank    
20,things i learned    no circle tank   real plants   fish breed research   jenna is best at fixing her mistakes   fish cycles   pet store employees probably ain t shit  not always    jenna community is probably best community
20,i love how emotional she s getting over the fish it really shows how big of a heart she has  
21,also it sounds like he is competing in a poetry slam    not apologizing 
21,how u cry with no tears  what is he sniffling for jeez 
21,this just in  reagan is angery
